02P3A-5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000697,0.018267,0.056245,0.083405,0.131718,0.228824,0.355735,0.473512,0.454283,0.28603,0.112008,0.037977,0.02692,0.02019,0.014662,0.012018,0.014261,0.35781,3.52041,6.458557,6.50663,6.192663,6.171944,6.151464,5.92677,5.868216,5.634003,5.204372,4.940641,4.667152,4.452288,4.305953,4.228242,3.945715,3.887643,3.30211,2.706577,1.905387,1.084679,0.25402,0,0
02P3B-0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069,0.449969,4.369698,7.729467,7.409489,6.759534,6.499552,6.249569,5.879594,5.729605,5.439625,4.999655,4.739673,4.479691,4.299703,4.169712,4.109716,3.849734,3.789739,3.229777,2.639818,1.859872,1.059927,0.249983,0,0
02P3B-1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429957,4.49955,8.629137,8.379162,7.649235,7.129287,6.639336,6.259374,5.79942,5.459454,5.19948,4.9995,4.819518,4.769523,4.449555,4.379562,3.739626,3.069693,2.169783,1.239876,0.289971,0,0
02P3B-3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000344,0.024584,0.099973,0.097187,0.170446,0.262225,0.306475,0.296642,0.186835,0.066376,0.022125,0.019175,0.015078,0.008522,0.006556,0.011963,0.398373,3.83952,6.926867,6.847717,6.414112,6.295304,6.186657,5.911188,5.822534,5.576726,5.163605,4.897985,4.632299,4.425689,4.268405,4.170344,3.875735,3.787736,3.207629,2.61769,1.840282,1.053074,0.246021,0,0
02P3B-5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163,0.011263,0.054248,0.112175,0.210098,0.349397,0.491914,0.478122,0.301125,0.115163,0.030572,0.022297,0.021148,0.012873,0.007815,0.013673,0.437068,4.159517,7.373623,7.099104,6.502128,6.276466,6.080578,5.74812,5.620862,5.356988,4.936748,4.682645,4.42852,4.252657,4.135561,4.077438,3.823611,3.775444,3.208702,2.631729,1.859097,1.056761,0.244584,0,0
02P3D-0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066,0.429972,4.219721,7.489506,7.249522,6.679559,6.449574,6.239588,5.899611,5.75962,5.489638,5.079665,4.829681,4.579698,4.38971,4.24972,4.179724,3.899743,3.819748,3.239786,2.649825,1.859877,1.05993,0.249984,0,0
02P3D-1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048001,1.810036,5.970119,6.940139,6.740135,6.680134,6.640133,6.360127,6.220124,5.940119,5.460109,5.150103,4.850097,4.630093,4.470089,4.390088,4.090082,4.030081,3.420068,2.800056,1.970039,1.130023,0.260005,0,0
02P3D-3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005401,0.360053,3.550518,6.560958,6.650971,6.37093,6.360929,6.350927,6.120894,6.060885,5.82085,5.380786,5.090743,4.800701,4.570667,4.400642,4.310629,4.010586,3.920572,3.330486,2.720397,1.910279,1.090159,0.250037,0,0
02P3D-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003868,0.077356,0.186547,0.278779,0.443309,0.621823,0.612897,0.368928,0.146381,0.052364,0.02886,0.021719,0.015471,0.012198,0.014561,0.356821,3.48245,6.365155,6.383375,6.080732,6.079542,6.088652,5.903661,5.874456,5.660915,5.233862,4.96212,4.680554,4.466982,4.302115,4.215275,3.934423,3.857675,3.285076,2.683064,1.886057,1.079227,0.252748,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
